date,product,stations,price
2022-06-20,unleaded95,4633,2.427
2022-06-17,unleaded95,4661,2.43
2022-06-16,unleaded95,4662,2.425
2022-06-14,unleaded95,4631,2.408
2022-06-09,unleaded95,4581,2.377
2022-06-08,unleaded95,4577,2.367
2022-06-07,unleaded95,4550,2.356
2022-06-06,unleaded95,4539,2.347
2022-06-03,unleaded95,4539,2.312
2022-05-30,unleaded95,4499,2.267
2022-05-27,unleaded95,4563,2.266
2022-05-26,unleaded95,4562,2.268
2022-05-25,unleaded95,4555,2.269
2022-05-24,unleaded95,4539,2.267
2022-05-19,unleaded95,4547,2.227
2022-05-16,unleaded95,4539,2.204
2022-05-13,unleaded95,4523,2.191
2022-05-12,unleaded95,4498,2.186
2022-05-10,unleaded95,4420,2.171
2022-05-09,unleaded95,4394,2.168
2022-05-05,unleaded95,4339,2.127
2022-05-04,unleaded95,4286,2.113
2022-05-03,unleaded95,4271,2.107
2022-04-29,unleaded95,4188,2.079
2022-04-28,unleaded95,4184,2.077
2022-04-27,unleaded95,4152,2.075
2022-04-26,unleaded95,4159,2.074
2022-04-18,unleaded95,4274,2.05
2022-04-15,unleaded95,4409,2.042
2022-04-11,unleaded95,4385,2.05
2022-04-08,unleaded95,4479,2.054
2022-04-07,unleaded95,4400,2.059
2022-04-05,unleaded95,4386,2.064
2022-03-31,unleaded95,4505,2.077
2022-03-30,unleaded95,4487,2.076
2022-03-29,unleaded95,4432,2.057
2022-03-28,unleaded95,4651,2.044
2022-03-23,unleaded95,4644,2.04
2022-03-21,unleaded95,4650,2.048
2022-03-18,unleaded95,4646,2.081
2022-03-16,unleaded95,4659,2.106
2022-03-14,unleaded95,4637,2.109
2022-03-11,unleaded95,4596,2.082
2022-03-10,unleaded95,4572,2.053
2022-03-09,unleaded95,4546,2.031
2022-03-04,unleaded95,4445,1.944
2022-03-08,unleaded95,4433,1.929
2022-03-02,unleaded95,4386,1.918
2022-03-01,unleaded95,4335,1.913
2022-02-25,unleaded95,4297,1.892
2022-02-23,unleaded95,4307,1.885
2022-02-21,unleaded95,4289,1.883
2022-02-16,unleaded95,4406,1.87
2022-02-15,unleaded95,4384,1.865
2022-02-14,unleaded95,4372,1.858
2022-02-10,unleaded95,4344,1.857
2022-02-08,unleaded95,4280,1.841
2022-02-03,unleaded95,4260,1.831
2022-02-02,unleaded95,4204,1.819
2022-01-31,unleaded95,4248,1.813
2022-01-24,unleaded95,4274,1.801
2022-01-20,unleaded95,4242,1.786
2022-01-18,unleaded95,4166,1.778
2022-01-19,unleaded95,4104,1.775
2022-01-12,unleaded95,3830,1.761
2022-01-11,unleaded95,3734,1.758
2022-01-07,unleaded95,3537,1.753
2022-01-05,unleaded95,3437,1.749
2022-01-10,unleaded95,3174,1.743
2021-12-31,unleaded95,3142,1.742
2021-12-29,unleaded95,3136,1.741
2022-01-21,unleaded95,3043,1.739
2021-12-27,unleaded95,3062,1.738
2021-12-21,unleaded95,3615,1.737
2021-12-20,unleaded95,3692,1.737
2021-12-17,unleaded95,3991,1.737
2021-12-16,unleaded95,4001,1.737
2021-12-15,unleaded95,4006,1.737
2021-12-10,unleaded95,3939,1.735
2021-12-08,unleaded95,3945,1.737
2021-12-07,unleaded95,3827,1.74
2021-12-06,unleaded95,3702,1.744
2021-12-02,unleaded95,3399,1.761
2021-12-01,unleaded95,3292,1.763
2021-11-29,unleaded95,3244,1.762
2021-11-25,unleaded95,3288,1.764
2021-11-23,unleaded95,3143,1.764
2021-11-24,unleaded95,3029,1.764
2021-11-22,unleaded95,3050,1.765
2021-11-16,unleaded95,3060,1.768
2021-11-12,unleaded95,3438,1.772
2021-11-11,unleaded95,3530,1.772
2021-11-10,unleaded95,3573,1.774
2021-11-09,unleaded95,3546,1.774
2021-11-08,unleaded95,3552,1.775
